Date,AHT,ALT,ARH,WS,RAINFALL
9-10-1978,32.6,24.4,83.5,2.27,2.5
10-10-1978,33.2,23.4,78,1.77,0
11-10-1978,32,24.9,81.25,0.27,0
12-10-1978,33.3,23.1,75.5,2.77,0
13-10-1978,33.7,23.2,69.25,2.3,0.3
14-10-1978,35,24.1,65.5,1.9,0
15-10-1978,33.6,25.1,69.5,2.63,0
16-10-1978,30.7,24.2,82,2.83,0
17-10-1978,33.3,22.1,78.75,1.37,0
18-10-1978,33,22.7,80,1.87,6
19-10-1978,35.5,23.7,73.75,1.2,0.2
20-10-1978,32.7,22.9,89.25,0.7,0
21-10-1978,33,23.1,71.25,2.53,37
22-10-1978,32.8,23.1,84.5,3.27,0
23-10-1978,30.7,22.2,85.5,1.8,21.6
24-10-1978,32.8,23.2,91.75,2.47,0.7
25-10-1978,31.3,22.9,79.75,3.2,8
26-10-1978,33.6,23.2,71.25,3.53,0
27-10-1978,34,22.8,66.75,3.87,0
28-10-1978,34.5,22.3,66.25,1.47,0
29-10-1978,34.2,22.3,64.75,2.37,0
30-10-1978,32.1,24.2,77,1.27,0
31-10-1978,34,24.2,75,1.13,0.8
1-10-1979,34.7,23,68,1.77,0
2-10-1979,34.6,23.1,72,1.97,0
3-10-1979,34.1,22.8,81.5,2.03,0
4-10-1979,34,23.5,79.25,1.53,5.4
5-10-1979,33.7,22.8,77.5,1.97,0
6-10-1979,33.5,23.3,80.25,1.5,4
7-10-1979,34.5,23.2,72.75,2.0,0
8-10-1979,34.6,22.8,,2.5,0
9-10-1979,35,23.8,74.25,1.1,0
10-10-1979,34.4,24,77,1.1,0
11-10-1979,34.3,24.5,72.25,1.7,0
12-10-1979,,,,1.9,
13-10-1979,32.5,24.9,83.25,2.03,3.7
14-10-1979,32.3,23.6,96.75,0.5,0.2
15-10-1979,31.8,23.7,,1.63,11
16-10-1979,29.6,23.3,,1.1,8.4
17-10-1979,,,,2.53,
18-10-1979,31.7,23.4,,1.27,9.4
19-10-1979,31.5,22.2,,1.33,22.8
20-10-1979,33.3,23.3,87.75,0.67,1.4
21-10-1979,27.1,22.7,,1.37,135.2
22-10-1979,31.6,22.3,,2.17,2
23-10-1979,,,,1.67,
24-10-1979,,,,1.87,
25-10-1979,32.8,23.9,81.25,1.63,0
26-10-1979,32.9,23.8,87,0.43,8.2
27-10-1979,31.3,24.1,86.5,0.7,13
28-10-1979,30.7,24.4,85.75,0.0,0
29-10-1979,,,,1.53,
30-10-1979,32.9,23.3,77.75,1.2,5.4
31-10-1979,34.2,23.5,73,1.43,0
1-10-1980,35.3,24.1,71.75,2.03,0
2-10-1980,33.8,24.3,74.5,2.67,0
3-10-1980,,,,1.97,
4-10-1980,33.2,22.4,73.75,2.43,4.5
5-10-1980,32.4,23.1,87.25,2.13,0
6-10-1980,32.3,22.8,80.25,2.47,19.6
7-10-1980,30,22.9,85.75,1.6,0
8-10-1980,,,,1.2,
9-10-1980,34.3,23.2,75.25,1.2,0
10-10-1980,30.1,23.1,85.5,1.83,0
11-10-1980,29.1,21.3,85.75,1.8,10.7
12-10-1980,,,,1.27,
13-10-1980,30.9,23.1,90.75,1.3,0
14-10-1980,33.2,22.4,86,2.33,0.3
15-10-1980,33.5,21.1,85.5,2.5,0
16-10-1980,28,22.1,89.75,1.87,13.4
17-10-1980,32,22.1,81.75,4.03,0.4
18-10-1980,,,,3.87,
19-10-1980,,,,1.4,
20-10-1980,,,,3.6,
21-10-1980,,,,2.23,
22-10-1980,33.4,23.1,77.75,2.2,0
23-10-1980,29.8,22.7,85.75,1.37,0
24-10-1980,32,23.1,85.5,3.97,56
25-10-1980,30.9,23.1,,1.2,0
26-10-1980,26,22.1,,2.5,12.8
27-10-1980,32,23.2,85.75,1.1,23.4
28-10-1980,33.4,23.5,79.5,1.1,0
29-10-1980,34.2,23.1,74.25,2.2,0
30-10-1980,,,,2.2,
31-10-1980,,,,0.93,
1-10-1981,26.2,22.4,90.25,1.8,31
2-10-1981,,,,1.1,
3-10-1981,32.6,23.3,79.5,2.67,1
4-10-1981,32.4,24.3,81.75,2.63,0
5-10-1981,30.1,24.4,87,2.87,3.2
6-10-1981,29.9,22.4,85,2.77,0
7-10-1981,32.4,22.7,81.25,2.33,0
8-10-1981,33.8,24.4,74,2.8,0
9-10-1981,34.7,23.9,74.25,2.3,0
10-10-1981,30.6,24,94,1.07,0
11-10-1981,27.6,23,91.75,2.93,9.8
12-10-1981,,,,0.7,
13-10-1981,34.8,23.4,75.75,1.7,0
14-10-1981,,,,3.9,
15-10-1981,33.3,24.7,84.25,2.0,0
16-10-1981,34.6,23.1,74,4.03,0.2
17-10-1981,34.8,24.3,71,1.63,0
18-10-1981,34.2,24,80.25,1.63,0
19-10-1981,31.7,22.7,88,1.67,0
20-10-1981,33.8,22.7,78,2.1,0
21-10-1981,34.5,24.6,81,1.0,0
22-10-1981,33.6,24.4,80.75,1.3,1
23-10-1981,32.7,24,86.25,1.93,0
24-10-1981,,,,1.1,
25-10-1981,33.5,23,81.75,2.8,1.6
26-10-1981,33.5,24.3,84.75,1.23,0
27-10-1981,32.7,23.6,85,1.1,0
28-10-1981,,,,1.13,
29-10-1981,33.2,24,84.5,1.2,0
30-10-1981,33.4,21.7,79.25,2.37,0
31-10-1981,,,,1.5,
1-10-1982,,,,2.3,
2-10-1982,,,,1.43,
3-10-1982,,,,1.1,
4-10-1982,33.1,24.5,82.75,1.8,0
5-10-1982,32.8,23.7,86.25,2.6,1.8
6-10-1982,,,,0.77,
7-10-1982,33,23.5,69.5,2.43,0.1
8-10-1982,34.2,23.3,71.5,2.13,0
9-10-1982,,,,3.0,
10-10-1982,34.8,23.5,67.25,1.1,0
11-10-1982,34.6,23.7,69.25,2.1,1.6
12-10-1982,34.5,23.3,75,1.3,0
13-10-1982,,,,1.37,
14-10-1982,33.6,25.3,72.25,1.93,0
15-10-1982,33.7,24.3,82,2.1,0
16-10-1982,34.6,24.3,73.75,0.67,0
17-10-1982,31.2,22.5,92.25,1.27,0
18-10-1982,,,,0.77,
19-10-1982,,,,1.43,
20-10-1982,34.4,24.3,72.75,1.37,0
21-10-1982,34.8,24.1,70.75,2.2,0
22-10-1982,,,,1.43,
23-10-1982,35.1,24,65,3.37,0
24-10-1982,35.4,23.8,63,3.9,0
25-10-1982,,,,2.03,
26-10-1982,31,24.3,77,2.13,0
27-10-1982,,,,0.77,
28-10-1982,,,,0.67,
29-10-1982,33.5,22.5,69.5,2.2,0.7
30-10-1982,34.5,23.9,73.25,1.27,0
31-10-1982,32.3,24.3,85.25,1.73,0
1-10-1983,28.9,23,,0.93,3.2
2-10-1983,26.5,22.1,,2.3,31.2
3-10-1983,26.8,22,,1.13,10
4-10-1983,32,22.3,,1.03,15
5-10-1983,32.8,23.9,,2.13,0
6-10-1983,28.5,24.5,,1.57,0
7-10-1983,32.7,23.3,,0.93,2.4
8-10-1983,29.4,24.9,,2.2,0
9-10-1983,30.7,21.7,,0.0,40
10-10-1983,26.8,22.3,,1.43,0
11-10-1983,31,22.3,,1.77,11.4
12-10-1983,29.9,24.5,,1.7,0.3
13-10-1983,31.3,24.1,,1.43,0
14-10-1983,30.2,24.3,,0.77,0
15-10-1983,32.9,24.1,,2.47,0
16-10-1983,29.7,22.9,,0.77,0
17-10-1983,32.8,23.7,,0.53,0
18-10-1983,32.1,23.3,,1.83,2.2
19-10-1983,33.1,24.3,,1.43,0
20-10-1983,33.1,25.3,,1.37,0
21-10-1983,28.1,23.7,,2.13,0
22-10-1983,31.8,23.3,,1.7,2
23-10-1983,31.9,22.1,,1.53,18.6
24-10-1983,32.1,25.1,,0.83,0
25-10-1983,33,23.3,,1.37,0
26-10-1983,32.6,24.1,,0.97,0
27-10-1983,28,23.3,,1.53,6.2
28-10-1983,25.5,22.5,,1.3,6.2
29-10-1983,31.8,22.5,,0.77,45.4
30-10-1983,31.4,23.7,,1.27,0.3
31-10-1983,27.5,23.9,,1.6,1.4
