Date,AHT,ALT,ARH,WS,RAINFALL
1-2-1977,31.7,23.7,77.75,2.83,5
2-2-1977,27,22.2,93.25,4.0,11
3-2-1977,29.5,22,87.5,3.53,3
4-2-1977,31,20.6,78,3.63,0
5-2-1977,31,22.8,84.5,2.03,0
6-2-1977,29.2,21.6,90.75,2.87,6.7
7-2-1977,30.1,22.6,88.5,1.9,26.4
8-2-1977,30.9,21,82,3.17,0.2
9-2-1977,31,22.4,79.5,1.9,12.5
10-2-1977,31.3,22,84.5,2.07,8.6
11-2-1977,30.6,22.5,94.25,3.2,4.7
12-2-1977,29.5,22.2,88.5,2.3,66.8
13-2-1977,29.4,22.2,89.75,3.3,9.2
14-2-1977,25.4,22.6,94,1.83,15.8
15-2-1977,31.4,21.7,82,1.37,1.7
16-2-1977,31,22.5,92.25,0.0,0
17-2-1977,29.9,22.2,96.5,0.83,5
18-2-1977,26,22.5,95.25,2.13,22.3
19-2-1977,27.8,21.8,95.25,0.83,3.9
20-2-1977,28.5,20.4,88.25,1.1,14.9
21-2-1977,29,22.4,86.25,0.83,0.5
22-2-1977,29.6,22.4,88.5,1.83,4.1
23-2-1977,29.5,22.3,87,2.2,12
24-2-1977,29.4,22.7,91,3.03,6.7
25-2-1977,28.5,22.6,94.25,1.8,0.1
26-2-1977,28.9,22,93.75,1.7,6
27-2-1977,31.4,21.2,85.75,0.67,5
28-2-1977,30.7,22,91,1.87,10.3
1-2-1978,31.3,21.5,87,1.8,5.7
2-2-1978,29.7,22.8,96.25,1.1,6.8
3-2-1978,27.3,22.6,94,2.37,21.5
4-2-1978,30.3,22.7,84.25,2.0,8.8
5-2-1978,27.2,22.8,92,1.1,0.2
6-2-1978,28.3,22.4,91,0.93,2.2
7-2-1978,31.6,21.4,85.5,0.8,3.4
8-2-1978,28.5,23,95.25,0.0,0.2
9-2-1978,28.7,23.2,94.5,1.2,2.7
10-2-1978,32.2,22.5,83.25,0.77,5.6
11-2-1978,35,22.8,73.25,1.2,0
12-2-1978,33.4,24,86.25,1.37,0
13-2-1978,33.3,22.4,84.25,2.27,19.8
14-2-1978,32.9,24,76.75,1.9,0
15-2-1978,31.3,23.5,83.5,1.73,0
16-2-1978,29.3,23.8,95.25,1.4,0
17-2-1978,30.5,23,92.25,2.03,6.7
18-2-1978,31.2,23.6,85.5,2.6,5.6
19-2-1978,31.7,23.6,85.25,1.73,7.4
20-2-1978,30.7,22.7,88.75,0.93,15
21-2-1978,29.1,22.3,91.75,2.33,9.7
22-2-1978,26.7,22,92,0.83,29.2
23-2-1978,32.2,22.6,85.75,2.33,3
24-2-1978,30.7,23.4,90,1.37,17
25-2-1978,30.3,23.5,87.5,1.03,30.1
26-2-1978,29.6,24.4,88.75,2.8,0.2
27-2-1978,27.7,23,89.25,2.53,2.7
28-2-1978,31.6,22.8,81,2.47,0
1-2-1979,31.2,22.5,91.25,2.97,14.2
2-2-1979,30.2,23.1,92.25,0.87,7.6
3-2-1979,31.2,23.5,91.5,0.87,5.8
4-2-1979,,,,2.07,
5-2-1979,31.5,23.3,82.5,1.73,0.2
6-2-1979,32,22.9,78.5,1.67,0
7-2-1979,30.8,23.1,80.25,2.2,0
8-2-1979,32.6,24.1,78.5,1.6,0.1
9-2-1979,31.2,24.1,80.25,2.63,0
10-2-1979,29.8,23.3,89.75,1.03,2.5
11-2-1979,29.6,21.9,92,0.0,22
12-2-1979,,,,0.43,
13-2-1979,28.8,22.9,91.5,1.03,5.6
14-2-1979,31.2,23.1,87.25,0.37,7.3
15-2-1979,,,,0.8,
16-2-1979,,,,1.53,
17-2-1979,30.6,22.7,87.5,1.6,0.6
18-2-1979,27.5,23.1,85,2.23,2.3
19-2-1979,32.2,22.3,89,2.23,0
20-2-1979,32.3,23.3,78,2.67,0.3
21-2-1979,32.9,24.1,85.75,2.63,0
22-2-1979,,,,0.4,
23-2-1979,29.7,23.1,91,1.53,11.9
24-2-1979,,,,1.5,
25-2-1979,30.2,23.3,85,1.87,0
26-2-1979,31.2,22.9,85.5,0.93,0.3
27-2-1979,,,,1.3,
28-2-1979,32.7,22.1,78.5,1.7,5.3
1-2-1980,,,,1.87,
2-2-1980,31.5,22.3,91.25,0.93,48.2
3-2-1980,29.5,23.1,92.75,2.7,7.3
4-2-1980,,,,1.6,
5-2-1980,32.7,22.7,78.5,2.63,5.8
6-2-1980,33.4,23.6,72,3.47,0
7-2-1980,33.8,23.6,67.75,3.3,0
8-2-1980,,,,3.33,
9-2-1980,33.2,24.1,72.5,2.53,0
10-2-1980,32.8,23.5,71.25,2.87,0
11-2-1980,,,,3.0,
12-2-1980,,,,1.1,
13-2-1980,31.8,23.4,80.25,1.1,4
14-2-1980,,,,1.63,
15-2-1980,,,,1.67,
16-2-1980,,,,3.2,
17-2-1980,31.2,23.6,87.25,1.93,0
18-2-1980,33,23.3,76.5,0.83,0
19-2-1980,,,,3.2,
20-2-1980,33.8,23.1,69.5,3.67,0
21-2-1980,34.3,23.1,72.5,3.97,0
22-2-1980,,,,3.03,
23-2-1980,,,,2.3,
24-2-1980,31.2,21.7,85.75,1.77,12.4
25-2-1980,,,,2.77,
26-2-1980,,,,2.63,
27-2-1980,,,,4.17,
28-2-1980,33.2,24.1,72,3.4,0
1-2-1981,,,,0.0,
2-2-1981,29.9,23.3,93.75,2.2,14.8
3-2-1981,25.7,22.3,94.25,1.2,18.4
4-2-1981,31.1,21.4,79.5,0.0,8.4
5-2-1981,31.3,21.5,88.25,1.9,0
6-2-1981,30.4,21.3,94.75,1.27,0
7-2-1981,30.7,22.8,90.5,1.37,2.2
8-2-1981,,,,2.13,
9-2-1981,31.1,22.6,88.75,2.2,31.2
10-2-1981,30,22.6,86.25,2.27,6.7
11-2-1981,25.7,22.5,95.25,0.67,1
12-2-1981,30,22.5,89.25,1.27,32.8
13-2-1981,,,,2.7,
14-2-1981,29,22.8,85.75,2.13,5.3
15-2-1981,,,,0.53,
16-2-1981,26,22.5,96.5,1.7,7.2
17-2-1981,31.2,21.5,85.75,3.63,5
18-2-1981,31.5,21.5,84,2.73,0.2
19-2-1981,29.5,21.5,89.75,1.7,6.6
20-2-1981,30.8,21.4,80.5,2.6,4.6
21-2-1981,31.8,21.5,83,1.1,2.5
22-2-1981,29.7,21.5,92.5,1.23,0.4
23-2-1981,31.7,21.5,86.75,0.87,13
24-2-1981,31.7,21.5,86.25,1.37,0
25-2-1981,33.2,21.4,81.75,1.0,0
26-2-1981,29.8,21.3,92.75,0.83,0
27-2-1981,33.2,21.3,86.25,1.53,1
28-2-1981,33.1,21.3,89.75,1.37,3.6
1-2-1982,,,,1.63,
2-2-1982,29.3,21.9,95.5,1.47,17.3
3-2-1982,31.4,22.9,95,1.37,5
4-2-1982,,,,2.03,
5-2-1982,32,22.3,80.5,3.53,3.3
6-2-1982,,,,2.2,
7-2-1982,26,22.5,97,2.3,17.6
8-2-1982,,,,2.13,
9-2-1982,31.7,22.3,86.5,2.97,0
10-2-1982,,,,3.33,
11-2-1982,,,,4.57,
12-2-1982,,,,2.9,
13-2-1982,30.5,22.7,93,2.13,21.2
14-2-1982,28.8,22.9,92,2.23,13.2
15-2-1982,,,,2.3,
16-2-1982,,,,2.23,
17-2-1982,,,,2.43,
18-2-1982,30.5,23.1,86.5,3.13,2.2
19-2-1982,,,,2.87,
20-2-1982,,,,2.43,
21-2-1982,,,,2.37,
22-2-1982,,,,3.77,
