,Ano,Mês,Valor,Variável
201,1952.0,10.0,0.0149410473,nino4
202,1952.0,11.0,0.015069962,nino4
203,1952.0,12.0,0.015107254,nino4
204,1952.0,1.0,0.0030364372,tsa
205,1952.0,2.0,-0.0004840271,tsa
206,1952.0,3.0,-0.0036281179,tsa
207,1952.0,4.0,-0.0037192004,tsa
208,1952.0,5.0,-0.0082536924,tsa
209,1952.0,6.0,0.0030107527,tsa
210,1952.0,7.0,-0.0035228988,tsa
211,1952.0,8.0,-0.0005934718,tsa
212,1952.0,9.0,-0.0025657473,tsa
213,1952.0,10.0,-0.0046376812,tsa
214,1952.0,11.0,0.0,tsa
215,1952.0,12.0,-0.0068027211,tsa
216,1953.0,1.0,0.0116889618,rainfall
217,1953.0,2.0,0.0226499225,rainfall
218,1953.0,3.0,0.013107679,rainfall
219,1953.0,4.0,0.0096003732,rainfall
220,1953.0,5.0,0.0106827096,rainfall
221,1953.0,6.0,0.0028912516,rainfall
222,1953.0,7.0,0.0332805715,rainfall
223,1953.0,8.0,0.0008053319,rainfall
224,1953.0,9.0,0.0059541594,rainfall
225,1953.0,10.0,0.0176904768,rainfall
226,1953.0,11.0,0.0145633134,rainfall
227,1953.0,12.0,0.0118577875,rainfall
228,1953.0,1.0,0.01507703,nino12
229,1953.0,2.0,0.0153646169,nino12
230,1953.0,3.0,0.0156515115,nino12
231,1953.0,4.0,0.0160675122,nino12
232,1953.0,5.0,0.0158470389,nino12
233,1953.0,6.0,0.0155085825,nino12
234,1953.0,7.0,0.0153239171,nino12
235,1953.0,8.0,0.0155005616,nino12
236,1953.0,9.0,0.0154633874,nino12
237,1953.0,10.0,0.015262967,nino12
238,1953.0,11.0,0.0152246122,nino12
239,1953.0,12.0,0.0149282552,nino12
240,1953.0,1.0,0.0152807897,nino3
241,1953.0,2.0,0.0154093227,nino3
242,1953.0,3.0,0.0153921015,nino3
243,1953.0,4.0,0.0153897199,nino3
244,1953.0,5.0,0.0153766036,nino3
245,1953.0,6.0,0.0154080557,nino3
246,1953.0,7.0,0.015319611,nino3
247,1953.0,8.0,0.0152719754,nino3
248,1953.0,9.0,0.0154450262,nino3
249,1953.0,10.0,0.0153442113,nino3
250,1953.0,11.0,0.0152548837,nino3
251,1953.0,12.0,0.015312139,nino3
252,1953.0,1.0,0.0153957772,nino34
253,1953.0,2.0,0.0154609929,nino34
254,1953.0,3.0,0.0154033058,nino34
255,1953.0,4.0,0.0154620817,nino34
256,1953.0,5.0,0.0154519729,nino34
257,1953.0,6.0,0.015474164,nino34
258,1953.0,7.0,0.0153897606,nino34
259,1953.0,8.0,0.0153438944,nino34
260,1953.0,9.0,0.0153927361,nino34
261,1953.0,10.0,0.0154217552,nino34
262,1953.0,11.0,0.0153432629,nino34
263,1953.0,12.0,0.0154225541,nino34
264,1953.0,1.0,0.015178,nino4
265,1953.0,2.0,0.0151258327,nino4
266,1953.0,3.0,0.0151080955,nino4
267,1953.0,4.0,0.0151795888,nino4
268,1953.0,5.0,0.0152339098,nino4
269,1953.0,6.0,0.0153465216,nino4
270,1953.0,7.0,0.0153166966,nino4
271,1953.0,8.0,0.0153371628,nino4
272,1953.0,9.0,0.0151980684,nino4
273,1953.0,10.0,0.015232761,nino4
274,1953.0,11.0,0.0152504406,nino4
275,1953.0,12.0,0.0153524671,nino4
276,1953.0,1.0,-0.0075910931,tsa
277,1953.0,2.0,-0.0121006776,tsa
278,1953.0,3.0,0.0004535147,tsa
279,1953.0,4.0,-0.0134821013,tsa
280,1953.0,5.0,-0.0060816681,tsa
281,1953.0,6.0,-0.0043010753,tsa
282,1953.0,7.0,-0.0035228988,tsa
283,1953.0,8.0,-0.0035608309,tsa
284,1953.0,9.0,0.0025657473,tsa
285,1953.0,10.0,0.0017391304,tsa
286,1953.0,11.0,-0.0101294316,tsa
287,1953.0,12.0,-0.0199222546,tsa
288,1954.0,1.0,0.0166095088,rainfall
289,1954.0,2.0,0.0145129674,rainfall
290,1954.0,3.0,0.0148179908,rainfall
291,1954.0,4.0,0.0112329602,rainfall
292,1954.0,5.0,0.0040296644,rainfall
293,1954.0,6.0,0.0132437978,rainfall
294,1954.0,7.0,0.0085657953,rainfall
295,1954.0,8.0,0.0081643988,rainfall
296,1954.0,9.0,0.0123137991,rainfall
297,1954.0,10.0,0.0126761693,rainfall
298,1954.0,11.0,0.0213129963,rainfall
299,1954.0,12.0,0.0122287649,rainfall
300,1954.0,1.0,0.0141025164,nino12
301,1954.0,2.0,0.0146853884,nino12
302,1954.0,3.0,0.0145318975,nino12
303,1954.0,4.0,0.0136597692,nino12
304,1954.0,5.0,0.0137295197,nino12
305,1954.0,6.0,0.0138917303,nino12
306,1954.0,7.0,0.0135973762,nino12
307,1954.0,8.0,0.0140367405,nino12
308,1954.0,9.0,0.0140970263,nino12
309,1954.0,10.0,0.0140297425,nino12
310,1954.0,11.0,0.0142976524,nino12
311,1954.0,12.0,0.0142557512,nino12
312,1954.0,1.0,0.0151859884,nino3
313,1954.0,2.0,0.0151675627,nino3
314,1954.0,3.0,0.0150005873,nino3
315,1954.0,4.0,0.0144219869,nino3
316,1954.0,5.0,0.0144806617,nino3
317,1954.0,6.0,0.0145202309,nino3
318,1954.0,7.0,0.0145524502,nino3
319,1954.0,8.0,0.0144255476,nino3
320,1954.0,9.0,0.0143431146,nino3
321,1954.0,10.0,0.0144262335,nino3
322,1954.0,11.0,0.0145526748,nino3
323,1954.0,12.0,0.0144397382,nino3
324,1954.0,1.0,0.015418628,nino34
325,1954.0,2.0,0.0153815603,nino34
326,1954.0,3.0,0.0150689359,nino34
327,1954.0,4.0,0.0147333585,nino34
328,1954.0,5.0,0.0147867857,nino34
329,1954.0,6.0,0.0148481687,nino34
330,1954.0,7.0,0.0147376049,nino34
331,1954.0,8.0,0.0145577531,nino34
332,1954.0,9.0,0.0144846101,nino34
333,1954.0,10.0,0.0145924453,nino34
334,1954.0,11.0,0.0147408978,nino34
335,1954.0,12.0,0.0146366189,nino34
336,1954.0,1.0,0.0153232183,nino4
337,1954.0,2.0,0.015276983,nino4
338,1954.0,3.0,0.0150758362,nino4
339,1954.0,4.0,0.015009211,nino4
340,1954.0,5.0,0.0149809774,nino4
341,1954.0,6.0,0.0149461318,nino4
342,1954.0,7.0,0.0148144232,nino4
343,1954.0,8.0,0.0147054139,nino4
344,1954.0,9.0,0.0146355701,nino4
345,1954.0,10.0,0.0145750792,nino4
346,1954.0,11.0,0.0147780113,nino4
347,1954.0,12.0,0.0147714188,nino4
348,1954.0,1.0,-0.0217611336,tsa
349,1954.0,2.0,-0.0242013553,tsa
350,1954.0,3.0,-0.0235827664,tsa
351,1954.0,4.0,-0.0185960019,tsa
352,1954.0,5.0,-0.0264986968,tsa
353,1954.0,6.0,-0.024516129,tsa
354,1954.0,7.0,-0.0332159034,tsa
355,1954.0,8.0,-0.0231454006,tsa
356,1954.0,9.0,-0.0160359205,tsa
357,1954.0,10.0,-0.008115942,tsa
358,1954.0,11.0,-0.0067529544,tsa
359,1954.0,12.0,-0.0111758989,tsa
360,1955.0,1.0,0.0145379798,rainfall
361,1955.0,2.0,0.0193703688,rainfall
362,1955.0,3.0,0.0151619378,rainfall
363,1955.0,4.0,0.012746554,rainfall
364,1955.0,5.0,0.0173168363,rainfall
365,1955.0,6.0,0.0092733232,rainfall
366,1955.0,7.0,0.0151236486,rainfall
367,1955.0,8.0,0.0005831713,rainfall
368,1955.0,9.0,0.0163472619,rainfall
369,1955.0,10.0,0.0157248683,rainfall
370,1955.0,11.0,0.0159932588,rainfall
371,1955.0,12.0,0.0191761603,rainfall
372,1955.0,1.0,0.0147666754,nino12
373,1955.0,2.0,0.0145624246,nino12
374,1955.0,3.0,0.014491499,nino12
375,1955.0,4.0,0.0144881758,nino12
376,1955.0,5.0,0.0140418382,nino12
377,1955.0,6.0,0.0140567152,nino12
378,1955.0,7.0,0.0144017085,nino12
379,1955.0,8.0,0.0143555926,nino12
380,1955.0,9.0,0.0143982134,nino12
381,1955.0,10.0,0.0141240479,nino12
382,1955.0,11.0,0.0140799573,nino12
383,1955.0,12.0,0.0142557512,nino12
384,1955.0,1.0,0.0147890078,nino3
385,1955.0,2.0,0.0148394598,nino3
386,1955.0,3.0,0.0147600857,nino3
387,1955.0,4.0,0.0146265933,nino3
388,1955.0,5.0,0.014413466,nino3
389,1955.0,6.0,0.0145030472,nino3
390,1955.0,7.0,0.0146114626,nino3
391,1955.0,8.0,0.0145041445,nino3
392,1955.0,9.0,0.0143370267,nino3
393,1955.0,10.0,0.0138790944,nino3
394,1955.0,11.0,0.0139110011,nino3
395,1955.0,12.0,0.0140366288,nino3
396,1955.0,1.0,0.0147845162,nino34
397,1955.0,2.0,0.014706383,nino34
398,1955.0,3.0,0.0147122747,nino34
399,1955.0,4.0,0.0146292552,nino34
400,1955.0,5.0,0.0147050004,nino34
401,1955.0,6.0,0.0147273626,nino34
402,1955.0,7.0,0.0147376049,nino34
403,1955.0,8.0,0.0146369328,nino34
404,1955.0,9.0,0.0145527196,nino34
405,1955.0,10.0,0.0140244249,nino34
406,1955.0,11.0,0.0139339558,nino34
407,1955.0,12.0,0.0141297476,nino34
408,1955.0,1.0,0.0148875634,nino4
409,1955.0,2.0,0.014801939,nino4
410,1955.0,3.0,0.0148446447,nino4
411,1955.0,4.0,0.0147962389,nino4
412,1955.0,5.0,0.0148703194,nino4
413,1955.0,6.0,0.0149039855,nino4
414,1955.0,7.0,0.0148831553,nino4
415,1955.0,8.0,0.0147266492,nino4
416,1955.0,9.0,0.0148000743,nino4
417,1955.0,10.0,0.0144955209,nino4
418,1955.0,11.0,0.0142949657,nino4
419,1955.0,12.0,0.0145155444,nino4
420,1955.0,1.0,-0.0212550607,tsa
421,1955.0,2.0,-0.0290416263,tsa
422,1955.0,3.0,-0.0204081633,tsa
423,1955.0,4.0,-0.0241748024,tsa
424,1955.0,5.0,-0.0147697654,tsa
425,1955.0,6.0,-0.0189247312,tsa
426,1955.0,7.0,-0.0135883241,tsa
427,1955.0,8.0,-0.0272997033,tsa
428,1955.0,9.0,-0.0262989096,tsa
429,1955.0,10.0,-0.0162318841,tsa
430,1955.0,11.0,-0.011254924,tsa
431,1955.0,12.0,-0.027696793,tsa
432,1956.0,1.0,0.0132492651,rainfall
433,1956.0,2.0,0.0116965363,rainfall
434,1956.0,3.0,0.0117460258,rainfall
435,1956.0,4.0,0.0130511766,rainfall
436,1956.0,5.0,0.0096863294,rainfall
437,1956.0,6.0,0.0158952221,rainfall
438,1956.0,7.0,0.0129875401,rainfall
439,1956.0,8.0,0.0141627326,rainfall
