,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
470,"(3, 6)",tanh,0.01,0.001,0.1,0.42814,0.001033664946780886
471,"(7, 6)",logistic,0.01,0.003,0.0462,0.42826,0.0010339546646152711
472,"(6, 7)",tanh,0.01,0.001,0.0462,0.42826,0.0010339546646152711
473,"(1, 6)",logistic,0.01,0.003,0.0462,0.42835,0.0010341719529910604
474,"(7, 1)",tanh,0.0001,0.001,0.0462,0.42877,0.0010351859654114087
475,"(7,)",logistic,0.0001,0.003,0.1,0.42879,0.0010352342517171396
476,"(4, 4)",logistic,0.01,0.003,0.0462,0.42881,0.0010352825380228704
477,"(5, 6)",logistic,0.01,0.003,0.0462,0.42888,0.0010354515400929284
478,"(4, 2)",tanh,0.01,0.001,0.1,0.4294,0.0010367069840419314
479,"(4, 2)",logistic,0.01,0.003,0.0462,0.42965,0.0010373105628635672
480,"(2,)",logistic,0.01,0.003,0.0462,0.42972,0.0010374795649336253
481,"(1, 3)",logistic,0.01,0.003,0.0462,0.42989,0.0010378899985323377
482,"(2, 1)",logistic,0.01,0.003,0.1,0.43006,0.0010383004321310502
483,"(4, 5)",logistic,0.0001,0.001,0.1,0.43007,0.0010383245752839157
484,"(3, 3)",logistic,0.01,0.003,0.1,0.43015,0.0010385177205068392
485,"(1, 6)",tanh,0.01,0.001,0.1,0.43027,0.0010388074383412245
486,"(6, 6)",logistic,0.01,0.003,0.1,0.43091,0.0010403526001246126
487,"(3, 7)",tanh,0.01,0.001,0.0462,0.43095,0.0010404491727360743
488,"(1, 7)",logistic,0.0001,0.003,0.0462,0.43126,0.0010411976104749028
489,"(5, 2)",logistic,0.01,0.003,0.0462,0.43143,0.0010416080440736153
490,"(7, 4)",tanh,0.0001,0.001,0.0462,0.43203,0.0010430566332455416
491,"(7, 6)",logistic,0.0001,0.003,0.0462,0.43214,0.0010433222079270616
492,"(5,)",tanh,0.0001,0.001,0.1,0.43254,0.001044287934041679
493,"(4, 7)",logistic,0.0001,0.001,0.1,0.43302,0.0010454468053792201
494,"(5, 3)",tanh,0.01,0.003,0.1,0.43304,0.0010454950916849509
495,"(7, 6)",logistic,0.0001,0.001,0.0462,0.43312,0.0010456882369078745
496,"(7, 5)",tanh,0.01,0.003,0.0462,0.43337,0.0010462918157295104
497,"(5, 6)",tanh,0.01,0.001,0.0462,0.43354,0.0010467022493282228
498,"(4,)",logistic,0.0001,0.003,0.1,0.4338,0.0010473299713027243
499,"(3, 4)",tanh,0.0001,0.001,0.0462,0.43416,0.0010481991248058801
500,"(7, 3)",logistic,0.01,0.003,0.1,0.43447,0.0010489475625447087
501,"(2,)",tanh,0.0001,0.003,0.0462,0.43475,0.001049623570824941
502,"(4, 3)",logistic,0.01,0.003,0.0462,0.43478,0.0010496960002835372
503,"(3,)",tanh,0.01,0.003,0.0462,0.43499,0.0010502030064937114
504,"(2, 5)",logistic,0.01,0.003,0.0462,0.43507,0.001050396151716635
505,"(2, 4)",logistic,0.0001,0.001,0.0462,0.43537,0.001051120446302598
506,"(4, 6)",tanh,0.0001,0.001,0.1,0.43547,0.0010513618778312526
507,"(2, 2)",logistic,0.0001,0.003,0.0462,0.43603,0.001052713894391717
508,"(1, 6)",tanh,0.0001,0.001,0.1,0.43606,0.0010527863238503133
509,"(5, 3)",logistic,0.01,0.003,0.1,0.43613,0.0010529553259203716
510,"(2, 5)",tanh,0.01,0.001,0.1,0.43648,0.0010538003362706618
511,"(5, 7)",tanh,0.0001,0.001,0.0462,0.43699,0.0010550316370667992
512,"(5, 2)",tanh,0.01,0.001,0.0462,0.437,0.0010550557802196645
513,"(5,)",logistic,0.01,0.003,0.0462,0.43734,0.0010558766474170896
514,"(3, 3)",logistic,0.0001,0.003,0.0462,0.43809,0.0010576873838819975
515,"(6, 6)",logistic,0.01,0.003,0.0462,0.43837,0.0010583633921622297
516,"(5, 6)",logistic,0.0001,0.001,0.0462,0.4384,0.001058435821620826
517,"(2, 4)",logistic,0.0001,0.003,0.1,0.43851,0.0010587013963023458
518,"(7, 3)",logistic,0.0001,0.003,0.1,0.43857,0.0010588462552195384
519,"(5, 2)",logistic,0.0001,0.003,0.0462,0.43895,0.0010597636950284252
520,"(3, 4)",tanh,0.01,0.003,0.0462,0.43959,0.001061308856811813
521,"(7, 7)",logistic,0.0001,0.001,0.0462,0.43972,0.0010616227177990638
522,"(3, 1)",logistic,0.0001,0.003,0.1,0.4401,0.0010625401576079506
523,"(2, 6)",logistic,0.01,0.001,0.1,0.44081,0.0010642543214613967
524,"(6, 7)",logistic,0.01,0.001,0.1,0.44098,0.0010646647550601092
525,"(7, 3)",logistic,0.0001,0.003,0.0462,0.441,0.0010647130413658401
526,"(3, 4)",tanh,0.01,0.001,0.1,0.44102,0.0010647613276715709
527,"(2, 1)",logistic,0.0001,0.003,0.1,0.44118,0.001065147618117418
528,"(3, 6)",logistic,0.0001,0.001,0.0462,0.44168,0.0010663547757606899
529,"(5, 1)",tanh,0.01,0.003,0.0462,0.44179,0.0010666203504422097
530,"(2,)",tanh,0.0001,0.001,0.1,0.44258,0.0010685276595185792
531,"(5, 2)",logistic,0.01,0.003,0.1,0.44273,0.0010688898068115609
532,"(6, 7)",tanh,0.01,0.003,0.0462,0.44285,0.0010691795246459462
533,"(3, 7)",logistic,0.01,0.001,0.0462,0.4433,0.0010702659665248909
534,"(5, 5)",logistic,0.0001,0.003,0.0462,0.44394,0.001071811128308279
535,"(7, 3)",logistic,0.01,0.003,0.0462,0.44398,0.0010719077009197406
536,"(6, 6)",tanh,0.01,0.001,0.0462,0.44462,0.001073452862703129
537,"(1, 2)",logistic,0.01,0.003,0.1,0.44475,0.0010737667236903794
538,"(4, 7)",logistic,0.0001,0.003,0.0462,0.44502,0.0010744185888177465
539,"(1, 4)",logistic,0.01,0.003,0.0462,0.44513,0.0010746841634992662
540,"(2, 3)",logistic,0.0001,0.003,0.1,0.44533,0.001075167026556575
541,"(3, 2)",logistic,0.01,0.003,0.1,0.44534,0.0010751911697094404
542,"(6, 4)",tanh,0.0001,0.001,0.0462,0.44537,0.0010752635991680367
543,"(3, 5)",logistic,0.01,0.001,0.1,0.44606,0.001076929476715752
544,"(7, 2)",logistic,0.01,0.003,0.0462,0.44632,0.0010775571986902533
545,"(1,)",tanh,0.01,0.003,0.0462,0.44635,0.0010776296281488496
546,"(2, 6)",logistic,0.01,0.001,0.0462,0.4466,0.0010782332069704855
547,"(3, 3)",logistic,0.0001,0.001,0.0462,0.44715,0.0010795610803780848
548,"(4, 3)",logistic,0.0001,0.003,0.1,0.44742,0.0010802129455054516
549,"(7, 7)",tanh,0.0001,0.003,0.0462,0.44743,0.001080237088658317
550,"(4, 6)",tanh,0.0001,0.001,0.0462,0.44745,0.001080285374964048
551,"(4, 3)",tanh,0.0001,0.001,0.1,0.44747,0.0010803336612697787
552,"(5, 4)",logistic,0.0001,0.001,0.0462,0.44759,0.001080623379104164
553,"(4, 4)",tanh,0.01,0.001,0.1,0.4476,0.0010806475222570294
554,"(4, 4)",logistic,0.01,0.003,0.1,0.44767,0.0010808165243270877
555,"(6, 1)",tanh,0.0001,0.003,0.1,0.44777,0.0010810579558557418
556,"(2,)",logistic,0.0001,0.003,0.0462,0.44808,0.0010818063935945704
557,"(3, 2)",logistic,0.01,0.001,0.0462,0.4482,0.0010820961114289557
558,"(4, 7)",tanh,0.01,0.003,0.0462,0.44839,0.0010825548313333992
559,"(2, 7)",logistic,0.01,0.001,0.1,0.44917,0.0010844379972569033
560,"(2, 1)",logistic,0.01,0.001,0.0462,0.44978,0.001085910729581695
561,"(5, 7)",logistic,0.01,0.001,0.1,0.44991,0.0010862245905689457
562,"(1, 6)",tanh,0.01,0.001,0.0462,0.44998,0.0010863935926390038
563,"(3, 7)",logistic,0.01,0.001,0.1,0.4506,0.001087890468116661
564,"(1, 3)",logistic,0.0001,0.003,0.0462,0.45104,0.0010889527668427404
565,"(1, 6)",logistic,0.0001,0.001,0.0462,0.45154,0.0010901599244860123
566,"(1, 4)",tanh,0.0001,0.003,0.0462,0.45159,0.0010902806402503394
567,"(4, 3)",tanh,0.01,0.003,0.1,0.45181,0.0010908117896133791
568,"(3,)",tanh,0.0001,0.003,0.0462,0.45193,0.0010911015074477643
569,"(3, 5)",tanh,0.01,0.003,0.1,0.45196,0.0010911739369063606
570,"(5, 4)",logistic,0.01,0.001,0.0462,0.45216,0.0010916567999636694
571,"(6, 4)",logistic,0.0001,0.001,0.1,0.45247,0.001092405237702498
572,"(7,)",tanh,0.0001,0.003,0.1,0.45259,0.0010926949555368833
573,"(6, 2)",logistic,0.0001,0.003,0.0462,0.45313,0.001093998685791617
574,"(4, 6)",logistic,0.01,0.001,0.1,0.45328,0.0010943608330845987
575,"(6, 6)",logistic,0.0001,0.003,0.0462,0.45351,0.0010949161256005038
576,"(3, 4)",logistic,0.0001,0.001,0.1,0.45406,0.0010962439990081028
577,"(4, 7)",logistic,0.0001,0.001,0.0462,0.4543,0.0010968234346768733
578,"(3, 1)",tanh,0.01,0.003,0.0462,0.45452,0.0010973545840399128
579,"(1, 3)",tanh,0.0001,0.001,0.0462,0.45477,0.001097958162861549
580,"(6, 4)",logistic,0.01,0.003,0.1,0.45522,0.0010990446047404938
581,"(4, 4)",logistic,0.0001,0.001,0.1,0.45527,0.0010991653205048209
582,"(5, 6)",tanh,0.0001,0.001,0.1,0.45552,0.0010997688993264567
583,"(7, 1)",logistic,0.0001,0.003,0.0462,0.45572,0.0011002517623837655
584,"(7, 2)",logistic,0.01,0.001,0.1,0.4558,0.0011004449076066891
585,"(5, 7)",logistic,0.0001,0.003,0.0462,0.45581,0.0011004690507595545
