,Arquitetura,FA,Alpha,TA,FV,ACURACIA
71,10,tanh,0.0001,0.001,0.1,0.73333
72,7,logistic,0.01,0.001,0.1,0.73333
73,7,logistic,0.01,0.003,0.1,0.73333
74,7,tanh,0.0001,0.003,0.1,0.73333
75,8,logistic,0.0001,0.001,0.1,0.73333
76,9,logistic,0.01,0.003,0.1,0.73333
77,7,tanh,0.01,0.003,0.1,0.73333
78,8,tanh,0.0001,0.003,0.1,0.73333
79,9,logistic,0.0001,0.003,0.1,0.73333
80,12,logistic,0.0001,0.001,0.1,0.73333
81,8,logistic,0.01,0.003,0.1,0.73333
82,11,logistic,0.0001,0.003,0.1,0.73333
83,10,logistic,0.0001,0.003,0.1,0.73333
84,9,logistic,0.0001,0.001,0.1,0.73333
85,8,tanh,0.01,0.003,0.1,0.73333
86,11,logistic,0.01,0.001,0.1,0.73333
87,11,logistic,0.01,0.003,0.1,0.73333
88,4,tanh,0.0001,0.001,0.1,0.73333
89,6,tanh,0.01,0.001,0.1,0.73333
90,3,tanh,0.0001,0.003,0.1,0.73333
91,6,logistic,0.0001,0.003,0.1,0.73333
92,"(6, 6)",tanh,0.01,0.001,0.1,0.73333
93,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
94,"(4, 8)",tanh,0.01,0.003,0.1,0.73333
95,"(6, 6)",logistic,0.0001,0.003,0.1,0.73333
96,"(9, 3)",logistic,0.01,0.003,0.1,0.73333
97,3,logistic,0.0001,0.001,0.1,0.73333
98,3,logistic,0.0001,0.003,0.1,0.73333
99,"(5, 7)",tanh,0.0001,0.001,0.1,0.73333
100,"(4, 8)",logistic,0.01,0.001,0.1,0.73333
101,3,logistic,0.01,0.003,0.1,0.73333
102,4,logistic,0.0001,0.003,0.1,0.73333
103,4,logistic,0.01,0.003,0.1,0.73333
104,5,logistic,0.0001,0.001,0.1,0.73333
105,5,logistic,0.0001,0.003,0.1,0.73333
106,5,logistic,0.01,0.003,0.1,0.73333
107,5,tanh,0.0001,0.001,0.1,0.73333
108,5,tanh,0.0001,0.003,0.1,0.73333
109,5,tanh,0.01,0.001,0.1,0.73333
110,6,logistic,0.0001,0.001,0.1,0.73333
111,"(7, 5)",logistic,0.01,0.003,0.1,0.73333
112,"(5, 7)",logistic,0.01,0.003,0.1,0.66667
113,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
114,"(4, 8)",logistic,0.01,0.003,0.1,0.66667
115,"(7, 5)",logistic,0.0001,0.001,0.1,0.66667
116,"(9, 3)",logistic,0.0001,0.003,0.1,0.66667
117,"(7, 5)",logistic,0.01,0.001,0.1,0.66667
118,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
119,"(9, 3)",logistic,0.01,0.001,0.1,0.66667
120,3,logistic,0.01,0.001,0.1,0.66667
121,"(3, 9)",logistic,0.0001,0.003,0.1,0.66667
122,"(4, 8)",logistic,0.0001,0.003,0.1,0.6
123,"(4, 8)",logistic,0.0001,0.001,0.1,0.6
124,"(3, 9)",logistic,0.01,0.003,0.1,0.6
125,"(3, 9)",logistic,0.01,0.001,0.1,0.6
126,"(5, 7)",logistic,0.0001,0.001,0.1,0.6
127,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
128,"(5, 7)",logistic,0.01,0.001,0.1,0.6
129,"(6, 6)",logistic,0.01,0.001,0.1,0.6
130,"(6, 6)",logistic,0.01,0.003,0.1,0.6
131,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
132,"(8, 4)",logistic,0.0001,0.001,0.1,0.6
133,"(8, 4)",logistic,0.01,0.001,0.1,0.6
134,"(8, 4)",logistic,0.01,0.003,0.1,0.6
135,"(9, 3)",logistic,0.0001,0.001,0.1,0.6
136,"(3, 9)",logistic,0.0001,0.001,0.1,0.6
