,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
111,"(4, 8)",tanh,0.01,0.003,0.2,80497.86219,281.63274
112,7,logistic,0.0001,0.001,0.2,80500.32417,283.10492
113,4,logistic,0.01,0.003,0.1,80517.63405,282.85474
114,"(9, 3)",tanh,0.01,0.003,0.1,80566.32627,280.07061
115,"(3, 9)",tanh,0.01,0.003,0.1,80569.16137,281.05632
116,7,tanh,0.01,0.003,0.1,80582.67362,276.99316
117,5,tanh,0.01,0.003,0.2,80593.69649,278.47528
118,"(7, 5)",tanh,0.0001,0.003,0.2,80596.55982,281.12436
119,8,tanh,0.0001,0.001,0.2,80613.76117,278.63199
120,11,logistic,0.01,0.001,0.1,80650.63043,283.19388
121,9,logistic,0.01,0.003,0.2,80658.17754,283.5717
122,"(5, 7)",tanh,0.01,0.003,0.2,80670.40649,281.5871
123,"(9, 3)",logistic,0.0001,0.001,0.1,80675.14631,283.34752
124,"(6, 6)",logistic,0.01,0.001,0.1,80686.25522,283.47481
125,"(4, 8)",tanh,0.0001,0.003,0.1,80695.23759,281.03485
126,9,tanh,0.01,0.003,0.1,80705.4916,277.95675
127,"(5, 7)",logistic,0.0001,0.003,0.2,80714.3194,283.67293
128,"(6, 6)",tanh,0.01,0.003,0.2,80730.08954,281.75927
129,"(3, 9)",tanh,0.01,0.003,0.2,80744.39742,282.20035
130,12,logistic,0.0001,0.003,0.2,80746.94914,283.64186
131,"(9, 3)",logistic,0.01,0.003,0.2,80757.14455,283.78729
132,5,logistic,0.0001,0.003,0.2,80779.58937,283.50992
133,"(6, 6)",logistic,0.01,0.003,0.1,80783.74277,283.60342
134,9,logistic,0.0001,0.001,0.1,80806.52597,283.71477
135,"(5, 7)",tanh,0.01,0.001,0.1,80806.89718,281.08556
136,10,logistic,0.01,0.003,0.2,80834.11771,283.68133
137,6,logistic,0.01,0.001,0.2,80834.31024,283.77301
138,"(6, 6)",tanh,0.01,0.003,0.1,80841.70719,281.20473
139,"(8, 4)",tanh,0.01,0.001,0.1,80849.7171,280.5835
140,"(5, 7)",logistic,0.01,0.003,0.2,80854.82181,284.08335
141,4,logistic,0.0001,0.003,0.1,80862.46225,283.61556
142,"(9, 3)",tanh,0.0001,0.003,0.2,80907.30489,281.01469
