,Arquitetura,FA,Alpha,TA,FV,ACURACIA
51,8,logistic,0.0001,0.003,0.1,0.8
52,7,tanh,0.01,0.001,0.1,0.8
53,7,tanh,0.0001,0.003,0.1,0.8
54,7,tanh,0.0001,0.001,0.1,0.8
55,8,tanh,0.01,0.001,0.1,0.8
56,12,tanh,0.01,0.003,0.1,0.8
57,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
58,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
59,"(7, 5)",tanh,0.01,0.001,0.1,0.8
60,"(7, 5)",tanh,0.01,0.003,0.1,0.8
61,"(7, 5)",logistic,0.0001,0.001,0.1,0.8
62,"(6, 6)",tanh,0.01,0.003,0.1,0.8
63,"(6, 6)",tanh,0.01,0.001,0.1,0.8
64,"(3, 9)",tanh,0.01,0.001,0.1,0.8
65,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
66,"(9, 3)",tanh,0.0001,0.003,0.1,0.8
67,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
68,"(8, 4)",tanh,0.01,0.003,0.1,0.8
69,"(8, 4)",tanh,0.01,0.001,0.1,0.8
70,"(4, 8)",tanh,0.0001,0.001,0.1,0.8
71,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
72,"(4, 8)",tanh,0.0001,0.003,0.1,0.8
73,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
74,"(4, 8)",tanh,0.01,0.003,0.1,0.8
75,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
76,"(5, 7)",tanh,0.01,0.001,0.1,0.8
77,9,logistic,0.01,0.003,0.1,0.73333
78,7,logistic,0.01,0.001,0.1,0.73333
79,7,logistic,0.01,0.003,0.1,0.73333
80,8,tanh,0.0001,0.001,0.1,0.73333
81,9,logistic,0.01,0.001,0.1,0.73333
82,8,tanh,0.0001,0.003,0.1,0.73333
83,10,logistic,0.0001,0.003,0.1,0.73333
84,8,logistic,0.01,0.001,0.1,0.73333
85,8,logistic,0.01,0.003,0.1,0.73333
86,11,logistic,0.0001,0.003,0.1,0.73333
87,7,tanh,0.01,0.003,0.1,0.73333
88,3,logistic,0.0001,0.001,0.1,0.73333
89,12,logistic,0.0001,0.001,0.1,0.73333
90,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
91,3,logistic,0.01,0.001,0.1,0.73333
92,12,tanh,0.0001,0.003,0.1,0.73333
93,3,tanh,0.01,0.003,0.1,0.73333
94,4,logistic,0.0001,0.001,0.1,0.73333
95,4,logistic,0.01,0.001,0.1,0.73333
96,4,logistic,0.01,0.003,0.1,0.73333
97,12,logistic,0.0001,0.003,0.1,0.73333
98,"(7, 5)",tanh,0.0001,0.001,0.1,0.73333
99,6,logistic,0.01,0.003,0.1,0.73333
100,5,logistic,0.01,0.001,0.1,0.73333
101,5,logistic,0.01,0.003,0.1,0.73333
102,"(4, 8)",logistic,0.0001,0.001,0.1,0.73333
103,11,tanh,0.0001,0.001,0.1,0.73333
104,6,logistic,0.0001,0.001,0.1,0.73333
105,11,logistic,0.01,0.003,0.1,0.73333
106,10,logistic,0.0001,0.001,0.1,0.73333
107,"(7, 5)",tanh,0.0001,0.003,0.1,0.73333
108,"(5, 7)",logistic,0.0001,0.001,0.1,0.66667
109,"(3, 9)",logistic,0.01,0.003,0.1,0.66667
110,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
111,"(4, 8)",logistic,0.01,0.003,0.1,0.66667
112,8,logistic,0.0001,0.001,0.1,0.66667
113,"(5, 7)",logistic,0.01,0.003,0.1,0.66667
114,"(7, 5)",logistic,0.0001,0.003,0.1,0.66667
115,"(9, 3)",logistic,0.0001,0.001,0.1,0.66667
116,5,logistic,0.0001,0.001,0.1,0.66667
117,"(8, 4)",logistic,0.01,0.003,0.1,0.66667
118,"(8, 4)",logistic,0.0001,0.001,0.1,0.66667
119,4,logistic,0.0001,0.003,0.1,0.66667
120,"(7, 5)",logistic,0.01,0.003,0.1,0.66667
121,"(6, 6)",logistic,0.01,0.001,0.1,0.66667
122,"(6, 6)",logistic,0.0001,0.003,0.1,0.66667
123,"(7, 5)",logistic,0.01,0.001,0.1,0.6
124,"(9, 3)",logistic,0.01,0.003,0.1,0.6
125,"(4, 8)",logistic,0.01,0.001,0.1,0.6
126,"(6, 6)",logistic,0.0001,0.001,0.1,0.6
127,"(4, 8)",logistic,0.0001,0.003,0.1,0.6
128,"(5, 7)",logistic,0.0001,0.003,0.1,0.6
129,"(5, 7)",logistic,0.01,0.001,0.1,0.6
130,"(9, 3)",logistic,0.0001,0.003,0.1,0.6
131,"(9, 3)",logistic,0.01,0.001,0.1,0.53333
132,"(8, 4)",logistic,0.0001,0.003,0.1,0.53333
133,"(3, 9)",logistic,0.0001,0.003,0.1,0.53333
134,"(8, 4)",logistic,0.01,0.001,0.1,0.53333
135,"(6, 6)",logistic,0.01,0.003,0.1,0.53333
136,"(3, 9)",logistic,0.0001,0.001,0.1,0.53333
