,Arquitetura,FA,Alpha,TA,FV,ACURACIA
95,11,logistic,0.0001,0.001,0.1,0.73333
96,11,logistic,0.01,0.003,0.1,0.73333
97,12,logistic,0.01,0.003,0.1,0.73333
98,8,logistic,0.01,0.003,0.1,0.73333
99,4,logistic,0.0001,0.003,0.1,0.73333
100,3,logistic,0.01,0.003,0.1,0.73333
101,6,logistic,0.01,0.003,0.1,0.73333
102,3,logistic,0.0001,0.003,0.1,0.73333
103,4,logistic,0.01,0.003,0.1,0.73333
104,7,logistic,0.01,0.003,0.1,0.73333
105,7,logistic,0.01,0.001,0.1,0.73333
106,7,logistic,0.0001,0.003,0.1,0.73333
107,3,tanh,0.01,0.003,0.1,0.73333
108,6,logistic,0.0001,0.001,0.1,0.73333
109,3,logistic,0.01,0.001,0.1,0.73333
110,"(9, 3)",logistic,0.01,0.003,0.1,0.66667
111,"(4, 8)",logistic,0.01,0.003,0.1,0.66667
112,"(4, 8)",logistic,0.01,0.001,0.1,0.66667
113,"(7, 5)",logistic,0.0001,0.001,0.1,0.66667
114,"(4, 8)",logistic,0.0001,0.003,0.1,0.66667
115,"(4, 8)",logistic,0.0001,0.001,0.1,0.66667
116,"(3, 9)",logistic,0.0001,0.003,0.1,0.66667
117,"(3, 9)",logistic,0.01,0.003,0.1,0.66667
118,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
119,"(9, 3)",logistic,0.01,0.001,0.1,0.66667
120,"(5, 7)",logistic,0.01,0.001,0.1,0.66667
121,"(5, 7)",logistic,0.0001,0.001,0.1,0.66667
122,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
123,"(7, 5)",logistic,0.0001,0.003,0.1,0.66667
124,"(5, 7)",logistic,0.01,0.003,0.1,0.66667
125,"(9, 3)",logistic,0.0001,0.003,0.1,0.66667
126,"(9, 3)",logistic,0.0001,0.001,0.1,0.66667
127,"(8, 4)",logistic,0.01,0.003,0.1,0.66667
128,"(8, 4)",logistic,0.01,0.001,0.1,0.66667
129,"(8, 4)",logistic,0.0001,0.003,0.1,0.66667
130,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
131,"(8, 4)",logistic,0.0001,0.001,0.1,0.66667
132,"(7, 5)",logistic,0.01,0.003,0.1,0.66667
133,"(6, 6)",logistic,0.01,0.001,0.1,0.66667
134,"(6, 6)",logistic,0.01,0.003,0.1,0.66667
135,"(7, 5)",logistic,0.01,0.001,0.1,0.66667
136,"(3, 9)",logistic,0.0001,0.001,0.1,0.66667
