,Arquitetura,FA,Alpha,TA,FV,ACURACIA
111,6,logistic,0.01,0.001,0.1,0.66667
112,4,tanh,0.01,0.003,0.1,0.66667
113,"(4, 8)",logistic,0.0001,0.003,0.1,0.6
114,"(4, 8)",logistic,0.0001,0.001,0.1,0.6
115,"(7, 5)",logistic,0.0001,0.001,0.1,0.6
116,5,logistic,0.01,0.001,0.1,0.6
117,5,logistic,0.0001,0.003,0.1,0.6
118,"(3, 9)",logistic,0.0001,0.003,0.1,0.6
119,"(3, 9)",logistic,0.01,0.003,0.1,0.6
120,"(3, 9)",logistic,0.01,0.001,0.1,0.6
121,"(4, 8)",logistic,0.01,0.001,0.1,0.6
122,"(9, 3)",logistic,0.0001,0.003,0.1,0.6
123,"(9, 3)",logistic,0.01,0.003,0.1,0.6
124,"(9, 3)",logistic,0.01,0.001,0.1,0.6
125,"(8, 4)",logistic,0.01,0.003,0.1,0.6
126,"(5, 7)",logistic,0.0001,0.001,0.1,0.6
127,"(8, 4)",logistic,0.01,0.001,0.1,0.6
128,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
129,"(5, 7)",logistic,0.01,0.001,0.1,0.6
130,"(5, 7)",logistic,0.01,0.003,0.1,0.6
131,"(8, 4)",logistic,0.0001,0.001,0.1,0.6
132,"(5, 7)",tanh,0.0001,0.003,0.1,0.6
133,"(6, 6)",logistic,0.0001,0.001,0.1,0.6
134,"(6, 6)",logistic,0.0001,0.003,0.1,0.6
135,"(6, 6)",logistic,0.01,0.003,0.1,0.6
136,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
