,Arquitetura,FA,Alpha,TA,FV,ACURACIA
98,"(5, 7)",logistic,0.0001,0.001,0.1,0.73333
99,"(9, 3)",logistic,0.0001,0.001,0.1,0.73333
100,"(9, 3)",logistic,0.0001,0.003,0.1,0.73333
101,"(4, 8)",tanh,0.0001,0.003,0.1,0.73333
102,3,logistic,0.01,0.003,0.1,0.73333
103,"(4, 8)",logistic,0.0001,0.003,0.1,0.73333
104,"(4, 8)",logistic,0.0001,0.001,0.1,0.73333
105,4,logistic,0.01,0.001,0.1,0.73333
106,4,logistic,0.01,0.003,0.1,0.73333
107,"(3, 9)",logistic,0.01,0.003,0.1,0.73333
108,5,logistic,0.0001,0.001,0.1,0.73333
109,5,logistic,0.01,0.001,0.1,0.73333
110,6,logistic,0.0001,0.001,0.1,0.73333
111,6,logistic,0.01,0.001,0.1,0.73333
112,6,logistic,0.01,0.003,0.1,0.73333
113,"(6, 6)",logistic,0.0001,0.003,0.1,0.73333
114,"(6, 6)",logistic,0.01,0.001,0.1,0.66667
115,"(4, 8)",logistic,0.01,0.001,0.1,0.66667
116,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
117,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
118,"(5, 7)",logistic,0.01,0.001,0.1,0.66667
119,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
120,"(8, 4)",logistic,0.0001,0.001,0.1,0.66667
121,"(6, 6)",logistic,0.01,0.003,0.1,0.66667
122,"(8, 4)",logistic,0.01,0.001,0.1,0.66667
123,"(9, 3)",logistic,0.01,0.001,0.1,0.66667
124,3,logistic,0.01,0.001,0.1,0.66667
125,4,logistic,0.0001,0.001,0.1,0.66667
126,8,logistic,0.01,0.003,0.1,0.66667
127,"(3, 9)",logistic,0.0001,0.003,0.1,0.66667
128,"(3, 9)",logistic,0.0001,0.001,0.1,0.66667
129,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
130,"(7, 5)",logistic,0.01,0.001,0.1,0.6
131,"(7, 5)",logistic,0.01,0.003,0.1,0.6
132,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
133,"(8, 4)",logistic,0.01,0.003,0.1,0.6
134,"(4, 8)",logistic,0.01,0.003,0.1,0.6
135,"(9, 3)",logistic,0.01,0.003,0.1,0.6
136,"(7, 5)",logistic,0.0001,0.001,0.1,0.53333
