,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
1,"(4, 1)",logistic,0.0001,0.003,0.0462,19.483,80.517
2,"(7, 3)",tanh,0.0001,0.003,0.1,20.521,79.479
3,"(5,)",logistic,0.0001,0.003,0.1,21.134,78.866
4,"(7, 1)",tanh,0.0001,0.001,0.0462,21.448,78.552
5,"(7, 5)",tanh,0.0001,0.003,0.0462,21.647,78.353
6,"(7, 6)",tanh,0.01,0.003,0.1,24.461,75.539
7,"(6, 3)",tanh,0.0001,0.001,0.1,24.632,75.368
8,"(4,)",logistic,0.0001,0.001,0.1,24.786,75.214
9,"(1, 1)",tanh,0.0001,0.001,0.1,24.872,75.128
10,"(1,)",logistic,0.0001,0.003,0.0462,25.137,74.863
11,"(2, 2)",tanh,0.0001,0.003,0.1,25.39,74.61
12,"(7, 2)",tanh,0.0001,0.003,0.1,25.51,74.49
13,"(2,)",tanh,0.01,0.003,0.1,25.804,74.196
14,"(5,)",logistic,0.0001,0.001,0.0462,26.102,73.898
15,"(5,)",tanh,0.01,0.001,0.0462,26.116,73.884
16,"(5, 6)",tanh,0.0001,0.003,0.1,26.197,73.803
17,"(7, 1)",tanh,0.0001,0.001,0.1,26.324,73.676
18,"(5, 7)",tanh,0.0001,0.001,0.1,26.698,73.302
19,"(6, 4)",tanh,0.01,0.001,0.0462,26.952,73.048
20,"(2, 4)",tanh,0.0001,0.003,0.0462,26.975,73.025
21,"(5, 5)",tanh,0.0001,0.003,0.1,27.145,72.855
22,"(6, 4)",tanh,0.0001,0.003,0.1,27.205,72.795
23,"(6,)",logistic,0.0001,0.001,0.0462,27.241,72.759
24,"(7,)",logistic,0.0001,0.003,0.1,27.415,72.585
25,"(7, 6)",tanh,0.0001,0.001,0.0462,27.534,72.466
26,"(6,)",tanh,0.0001,0.003,0.0462,27.793,72.207
27,"(5, 4)",tanh,0.01,0.003,0.1,27.836,72.164
28,"(2,)",logistic,0.0001,0.001,0.0462,27.954,72.046
29,"(5, 5)",tanh,0.01,0.003,0.0462,28.04,71.96
30,"(5, 3)",logistic,0.01,0.003,0.0462,28.069,71.931
31,"(1,)",tanh,0.0001,0.003,0.0462,28.075,71.925
32,"(5, 2)",tanh,0.0001,0.003,0.1,28.54,71.46
33,"(4, 4)",tanh,0.0001,0.003,0.0462,28.565,71.435
34,"(5, 7)",logistic,0.01,0.001,0.0462,28.635,71.365
35,"(3, 4)",tanh,0.0001,0.001,0.1,28.672,71.328
36,"(6,)",logistic,0.01,0.003,0.1,28.947,71.053
37,"(4, 7)",logistic,0.0001,0.003,0.0462,29.207,70.793
38,"(1, 5)",tanh,0.01,0.003,0.0462,29.261,70.739
39,"(4,)",tanh,0.0001,0.003,0.0462,29.361,70.639
40,"(5, 1)",tanh,0.0001,0.001,0.0462,29.483,70.517
41,"(6, 1)",tanh,0.0001,0.003,0.0462,29.486,70.514
42,"(1, 4)",tanh,0.0001,0.001,0.0462,29.594,70.406
43,"(1, 5)",tanh,0.0001,0.001,0.0462,29.695,70.305
44,"(1,)",logistic,0.0001,0.001,0.1,29.703,70.297
45,"(4, 2)",tanh,0.0001,0.001,0.0462,29.872,70.128
46,"(5, 4)",tanh,0.0001,0.001,0.0462,29.903,70.097
47,"(3, 4)",tanh,0.01,0.001,0.0462,29.93,70.07
48,"(7, 2)",logistic,0.0001,0.003,0.1,29.982,70.018
49,"(3, 7)",tanh,0.01,0.003,0.1,30.195,69.805
50,"(7, 2)",tanh,0.0001,0.001,0.1,30.246,69.754
51,"(7, 4)",tanh,0.0001,0.003,0.1,30.318,69.682
52,"(7, 4)",tanh,0.0001,0.001,0.1,30.344,69.656
53,"(2, 3)",tanh,0.0001,0.001,0.1,30.76,69.24
54,"(5, 5)",logistic,0.0001,0.001,0.0462,30.804,69.196
55,"(1, 5)",tanh,0.0001,0.003,0.0462,30.842,69.158
56,"(7, 4)",logistic,0.0001,0.003,0.0462,30.864,69.136
57,"(2, 2)",tanh,0.0001,0.003,0.0462,30.868,69.132
58,"(4,)",tanh,0.01,0.003,0.0462,30.935,69.065
59,"(7, 7)",tanh,0.0001,0.001,0.0462,30.949,69.051
60,"(6, 1)",tanh,0.0001,0.001,0.0462,30.951,69.049
61,"(5,)",tanh,0.01,0.003,0.0462,31.073,68.927
62,"(5, 4)",logistic,0.0001,0.003,0.1,31.193,68.807
63,"(6,)",tanh,0.01,0.003,0.0462,31.218,68.782
64,"(2, 4)",tanh,0.0001,0.003,0.1,31.242,68.758
65,"(5,)",logistic,0.0001,0.003,0.0462,31.243,68.757
66,"(5, 2)",logistic,0.0001,0.001,0.0462,31.309,68.691
67,"(4, 6)",tanh,0.0001,0.003,0.0462,31.347,68.653
68,"(4, 3)",tanh,0.0001,0.003,0.0462,31.48,68.52
69,"(5, 6)",logistic,0.0001,0.001,0.1,31.513,68.487
70,"(6, 6)",tanh,0.0001,0.003,0.0462,31.683,68.317
71,"(7, 6)",tanh,0.01,0.003,0.0462,31.685,68.315
72,"(2,)",logistic,0.01,0.003,0.0462,31.687,68.313
73,"(6, 6)",tanh,0.01,0.003,0.1,31.688,68.312
74,"(6, 7)",logistic,0.01,0.001,0.0462,31.698,68.302
75,"(7, 5)",logistic,0.0001,0.003,0.1,31.79,68.21
76,"(5, 4)",tanh,0.0001,0.003,0.0462,31.855,68.145
77,"(2, 4)",tanh,0.01,0.001,0.0462,31.865,68.135
78,"(2, 2)",tanh,0.0001,0.001,0.0462,31.944,68.056
79,"(2, 3)",tanh,0.0001,0.003,0.0462,31.989,68.011
80,"(3, 6)",logistic,0.0001,0.003,0.1,31.994,68.006
81,"(6, 7)",logistic,0.0001,0.001,0.0462,32.014,67.986
82,"(5, 3)",logistic,0.01,0.003,0.1,32.014,67.986
83,"(6, 7)",logistic,0.01,0.003,0.1,32.022,67.978
84,"(7,)",tanh,0.01,0.001,0.0462,32.031,67.969
85,"(1, 7)",tanh,0.0001,0.001,0.1,32.044,67.956
86,"(6, 2)",tanh,0.0001,0.003,0.1,32.153,67.847
87,"(7, 5)",tanh,0.0001,0.001,0.0462,32.173,67.827
88,"(2,)",tanh,0.0001,0.003,0.0462,32.215,67.785
89,"(7, 6)",logistic,0.0001,0.003,0.0462,32.22,67.78
90,"(4, 7)",tanh,0.0001,0.003,0.0462,32.249,67.751
91,"(3, 2)",tanh,0.0001,0.003,0.1,32.269,67.731
92,"(7, 6)",logistic,0.0001,0.003,0.1,32.289,67.711
93,"(6, 5)",tanh,0.0001,0.003,0.0462,32.291,67.709
94,"(4, 5)",logistic,0.0001,0.003,0.1,32.301,67.699
95,"(3, 6)",logistic,0.0001,0.003,0.0462,32.352,67.648
96,"(7, 5)",logistic,0.0001,0.003,0.0462,32.416,67.584
97,"(2, 1)",tanh,0.0001,0.001,0.0462,32.434,67.566
98,"(5,)",tanh,0.01,0.001,0.1,32.435,67.565
99,"(2, 1)",tanh,0.0001,0.003,0.1,32.447,67.553
100,"(5,)",tanh,0.0001,0.003,0.0462,32.482,67.518
101,"(5, 5)",tanh,0.0001,0.001,0.0462,32.537,67.463
102,"(4, 7)",tanh,0.0001,0.001,0.1,32.56,67.44
103,"(4, 7)",logistic,0.01,0.003,0.1,32.637,67.363
104,"(7, 5)",logistic,0.0001,0.001,0.0462,32.7,67.3
105,"(7, 2)",logistic,0.01,0.001,0.1,32.728,67.272
106,"(5, 1)",tanh,0.01,0.001,0.1,32.742,67.258
107,"(7,)",logistic,0.0001,0.003,0.0462,32.765,67.235
108,"(7, 4)",tanh,0.0001,0.001,0.0462,32.777,67.223
109,"(2, 4)",tanh,0.0001,0.001,0.1,32.837,67.163
110,"(7, 3)",logistic,0.0001,0.001,0.0462,32.845,67.155
111,"(3, 6)",logistic,0.0001,0.001,0.1,32.885,67.115
112,"(7, 4)",logistic,0.0001,0.001,0.0462,32.914,67.086
113,"(3,)",tanh,0.01,0.003,0.1,32.957,67.043
114,"(3, 3)",logistic,0.0001,0.003,0.1,32.999,67.001
115,"(6,)",logistic,0.01,0.003,0.0462,33.041,66.959
116,"(6, 6)",tanh,0.01,0.003,0.0462,33.044,66.956
117,"(1, 6)",tanh,0.0001,0.003,0.1,33.094,66.906
118,"(1, 7)",tanh,0.0001,0.001,0.0462,33.095,66.905
119,"(7,)",logistic,0.01,0.003,0.1,33.201,66.799
120,"(6, 6)",logistic,0.0001,0.003,0.0462,33.237,66.763
121,"(2, 3)",tanh,0.01,0.001,0.0462,33.252,66.748
122,"(2,)",tanh,0.0001,0.003,0.1,33.255,66.745
123,"(4, 7)",tanh,0.01,0.003,0.0462,33.309,66.691
124,"(3,)",logistic,0.01,0.003,0.1,33.372,66.628
125,"(1, 6)",logistic,0.0001,0.001,0.1,33.43,66.57
126,"(1, 3)",tanh,0.0001,0.003,0.0462,33.475,66.525
127,"(7, 3)",logistic,0.01,0.003,0.0462,33.542,66.458
128,"(2, 4)",logistic,0.0001,0.001,0.1,33.565,66.435
129,"(6, 4)",tanh,0.01,0.003,0.0462,33.569,66.431
130,"(1, 7)",tanh,0.0001,0.003,0.1,33.616,66.384
131,"(4,)",tanh,0.01,0.001,0.1,33.645,66.355
132,"(7, 3)",logistic,0.01,0.003,0.1,33.663,66.337
133,"(5, 2)",tanh,0.01,0.001,0.1,33.674,66.326
134,"(1, 2)",tanh,0.0001,0.001,0.0462,33.677,66.323
135,"(4, 4)",tanh,0.0001,0.001,0.0462,33.685,66.315
