,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
280,"(7, 3)",tanh,0.01,0.003,0.0462,36.671,63.329
281,"(1, 2)",tanh,0.0001,0.003,0.0462,36.684,63.316
282,"(7,)",tanh,0.01,0.003,0.1,36.693,63.307
283,"(1, 6)",tanh,0.0001,0.001,0.1,36.695,63.305
284,"(6,)",logistic,0.01,0.001,0.0462,36.704,63.296
285,"(5, 1)",tanh,0.01,0.003,0.0462,36.708,63.292
286,"(2, 6)",logistic,0.01,0.003,0.1,36.715,63.285
287,"(4,)",tanh,0.01,0.001,0.0462,36.724,63.276
288,"(4, 1)",tanh,0.0001,0.003,0.1,36.735,63.265
289,"(4, 2)",tanh,0.0001,0.003,0.0462,36.735,63.265
290,"(5, 6)",tanh,0.01,0.001,0.1,36.743,63.257
291,"(1, 2)",logistic,0.0001,0.001,0.1,36.746,63.254
292,"(4, 6)",tanh,0.01,0.003,0.1,36.747,63.253
293,"(2, 6)",logistic,0.01,0.003,0.0462,36.775,63.225
294,"(1, 3)",logistic,0.01,0.001,0.0462,36.783,63.217
295,"(3,)",logistic,0.0001,0.003,0.0462,36.786,63.214
296,"(2, 3)",logistic,0.01,0.001,0.1,36.811,63.189
297,"(3, 1)",tanh,0.01,0.003,0.1,36.814,63.186
298,"(2, 2)",logistic,0.0001,0.001,0.1,36.82,63.18
299,"(3, 2)",logistic,0.0001,0.001,0.0462,36.822,63.178
300,"(7, 1)",tanh,0.01,0.003,0.0462,36.828,63.172
301,"(7, 1)",logistic,0.0001,0.001,0.0462,36.834,63.166
302,"(7, 5)",tanh,0.01,0.001,0.0462,36.847,63.153
303,"(1, 3)",tanh,0.01,0.001,0.0462,36.847,63.153
304,"(2, 4)",logistic,0.0001,0.001,0.0462,36.864,63.136
305,"(6, 7)",tanh,0.01,0.001,0.0462,36.867,63.133
306,"(4, 4)",tanh,0.01,0.001,0.0462,36.867,63.133
307,"(4, 1)",logistic,0.0001,0.001,0.1,36.885,63.115
308,"(1, 2)",tanh,0.01,0.003,0.1,36.887,63.113
309,"(4, 4)",tanh,0.01,0.001,0.1,36.89,63.11
310,"(5, 3)",tanh,0.01,0.001,0.1,36.896,63.104
311,"(3, 7)",tanh,0.0001,0.003,0.0462,36.898,63.102
312,"(6, 1)",tanh,0.01,0.003,0.1,36.9,63.1
313,"(4, 5)",logistic,0.01,0.001,0.0462,36.9,63.1
314,"(3, 2)",logistic,0.01,0.001,0.1,36.903,63.097
315,"(7, 4)",logistic,0.01,0.003,0.0462,36.905,63.095
316,"(4, 5)",logistic,0.01,0.003,0.1,36.906,63.094
317,"(2, 7)",logistic,0.01,0.001,0.1,36.908,63.092
318,"(3, 2)",logistic,0.01,0.001,0.0462,36.908,63.092
319,"(7, 2)",logistic,0.01,0.001,0.0462,36.909,63.091
320,"(6, 4)",tanh,0.01,0.003,0.1,36.909,63.091
321,"(7, 6)",logistic,0.01,0.003,0.1,36.91,63.09
322,"(7, 7)",logistic,0.01,0.001,0.1,36.912,63.088
323,"(4, 3)",logistic,0.01,0.001,0.1,36.913,63.087
324,"(7, 2)",tanh,0.0001,0.001,0.0462,36.919,63.081
325,"(4, 7)",logistic,0.01,0.001,0.0462,36.926,63.074
326,"(3, 4)",logistic,0.01,0.003,0.0462,36.928,63.072
327,"(1, 3)",logistic,0.01,0.003,0.0462,36.929,63.071
328,"(1, 4)",tanh,0.01,0.003,0.1,36.935,63.065
329,"(7, 3)",logistic,0.01,0.001,0.1,36.937,63.063
330,"(1, 1)",logistic,0.01,0.003,0.0462,36.94,63.06
331,"(4, 1)",tanh,0.01,0.003,0.1,36.94,63.06
332,"(4, 3)",logistic,0.01,0.001,0.0462,36.945,63.055
333,"(7, 2)",logistic,0.01,0.003,0.1,36.948,63.052
334,"(4, 3)",logistic,0.01,0.003,0.1,36.95,63.05
335,"(6, 2)",logistic,0.01,0.003,0.1,36.951,63.049
336,"(7, 3)",logistic,0.01,0.001,0.0462,36.952,63.048
337,"(5, 3)",logistic,0.01,0.001,0.0462,36.953,63.047
338,"(4, 5)",logistic,0.01,0.003,0.0462,36.958,63.042
339,"(1, 2)",logistic,0.01,0.001,0.0462,36.961,63.039
340,"(2, 1)",logistic,0.01,0.001,0.0462,36.961,63.039
341,"(6, 2)",tanh,0.01,0.003,0.0462,36.964,63.036
342,"(5, 4)",logistic,0.01,0.003,0.1,36.966,63.034
343,"(1, 1)",tanh,0.0001,0.003,0.1,36.968,63.032
344,"(3, 4)",logistic,0.01,0.003,0.1,36.971,63.029
345,"(4, 1)",logistic,0.01,0.003,0.1,36.973,63.027
346,"(7,)",logistic,0.01,0.001,0.0462,36.974,63.026
347,"(5, 4)",logistic,0.01,0.001,0.0462,36.974,63.026
348,"(1, 7)",logistic,0.0001,0.003,0.1,36.975,63.025
349,"(5, 5)",logistic,0.01,0.001,0.1,36.977,63.023
350,"(6, 1)",logistic,0.01,0.003,0.0462,36.979,63.021
351,"(1, 3)",tanh,0.0001,0.003,0.1,36.979,63.021
352,"(1, 1)",logistic,0.01,0.003,0.1,36.98,63.02
353,"(2, 1)",tanh,0.01,0.001,0.0462,36.982,63.018
354,"(5, 5)",logistic,0.01,0.003,0.1,36.985,63.015
355,"(1, 3)",tanh,0.01,0.001,0.1,36.985,63.015
356,"(1, 1)",tanh,0.01,0.001,0.0462,36.985,63.015
357,"(6, 2)",tanh,0.01,0.001,0.1,36.987,63.013
358,"(1, 7)",logistic,0.01,0.001,0.1,36.987,63.013
359,"(1, 7)",tanh,0.0001,0.003,0.0462,36.987,63.013
360,"(6, 7)",logistic,0.01,0.003,0.0462,36.991,63.009
361,"(4, 7)",logistic,0.01,0.001,0.1,36.991,63.009
362,"(6, 5)",logistic,0.01,0.001,0.1,36.992,63.008
363,"(2, 3)",logistic,0.01,0.003,0.1,36.992,63.008
364,"(2, 1)",logistic,0.01,0.003,0.1,36.992,63.008
365,"(2, 5)",tanh,0.01,0.001,0.0462,36.992,63.008
366,"(6, 5)",logistic,0.01,0.003,0.1,36.993,63.007
367,"(7, 6)",logistic,0.01,0.003,0.0462,36.993,63.007
368,"(5, 5)",logistic,0.01,0.001,0.0462,36.995,63.005
369,"(3, 1)",logistic,0.01,0.001,0.1,36.996,63.004
370,"(3, 2)",logistic,0.01,0.003,0.1,36.996,63.004
371,"(2, 4)",logistic,0.01,0.003,0.1,36.998,63.002
372,"(3, 5)",logistic,0.01,0.001,0.0462,36.998,63.002
373,"(5, 7)",logistic,0.01,0.003,0.0462,36.998,63.002
374,"(4, 4)",logistic,0.01,0.001,0.0462,37.002,62.998
375,"(2, 2)",logistic,0.01,0.001,0.0462,37.003,62.997
376,"(7, 4)",logistic,0.01,0.001,0.0462,37.003,62.997
377,"(3, 2)",logistic,0.01,0.003,0.0462,37.003,62.997
378,"(7, 1)",tanh,0.01,0.003,0.1,37.003,62.997
379,"(7, 5)",logistic,0.01,0.001,0.1,37.005,62.995
380,"(5, 6)",logistic,0.01,0.003,0.0462,37.005,62.995
381,"(2, 4)",logistic,0.01,0.001,0.0462,37.009,62.991
382,"(1, 7)",tanh,0.01,0.001,0.0462,37.01,62.99
383,"(4, 1)",tanh,0.0001,0.001,0.0462,37.011,62.989
384,"(7, 6)",logistic,0.01,0.001,0.1,37.014,62.986
385,"(1, 2)",logistic,0.01,0.003,0.1,37.015,62.985
386,"(3, 3)",logistic,0.01,0.001,0.1,37.018,62.982
387,"(4, 1)",tanh,0.01,0.003,0.0462,37.019,62.981
388,"(4, 2)",logistic,0.01,0.003,0.1,37.021,62.979
389,"(6, 6)",logistic,0.01,0.001,0.0462,37.021,62.979
390,"(6, 2)",logistic,0.01,0.003,0.0462,37.023,62.977
391,"(4, 2)",tanh,0.01,0.003,0.0462,37.023,62.977
392,"(4, 5)",logistic,0.01,0.001,0.1,37.027,62.973
393,"(1, 3)",logistic,0.01,0.001,0.1,37.029,62.971
394,"(2, 4)",logistic,0.0001,0.003,0.0462,37.03,62.97
395,"(4, 2)",tanh,0.01,0.001,0.1,37.031,62.969
396,"(2, 2)",logistic,0.01,0.001,0.1,37.032,62.968
397,"(2, 3)",logistic,0.01,0.001,0.0462,37.032,62.968
