Year,1,2,3,4,5,6,7,8,9,10,11,12
1979,-0.04,-0.11,0.22,0.28,0.09,-0.0,-0.13,0.06,0.45,0.25,0.44,0.58
1980,0.63,0.4,0.19,0.21,0.36,0.45,0.29,-0.05,-0.06,-0.1,0.03,0.21
1981,-0.13,-0.42,-0.39,-0.23,-0.27,-0.17,-0.39,-0.34,-0.12,-0.14,-0.21,-0.04
1982,0.32,-0.01,0.33,0.48,0.67,0.74,0.58,0.88,1.54,2.0,2.02,2.27
1983,2.3,1.98,1.53,1.18,1.1,0.74,0.07,-0.03,-0.27,-0.78,-0.92,-0.73
1984,-0.44,0.02,-0.21,-0.35,-0.37,-0.52,-0.22,-0.11,-0.22,-0.49,-1.02,-1.15
1985,-0.85,-0.47,-0.54,-0.8,-0.68,-0.62,-0.38,-0.34,-0.51,-0.29,-0.17,-0.23
1986,-0.4,-0.45,-0.17,-0.02,-0.15,-0.02,0.09,0.43,0.68,0.89,1.0,1.09
1987,1.22,1.27,1.28,1.01,0.81,1.02,1.36,1.63,1.69,1.4,1.2,1.03
1988,0.98,0.41,0.21,-0.12,-0.83,-1.32,-1.43,-1.06,-0.89,-1.66,-1.82,-1.72
1989,-1.71,-1.27,-0.99,-0.86,-0.6,-0.38,-0.32,-0.32,-0.19,-0.26,-0.34,0.01
1990,0.16,0.3,0.18,0.24,0.26,0.13,0.33,0.33,0.34,0.41,0.23,0.44
1991,0.6,0.48,0.25,0.48,0.5,0.68,0.91,0.93,0.66,1.04,1.32,1.69
1992,1.88,1.82,1.46,1.39,1.21,0.92,0.58,0.31,0.17,-0.0,0.02,0.15
1993,0.35,0.54,0.59,0.97,1.08,0.69,0.41,0.24,0.5,0.36,0.23,0.33
1994,0.34,0.3,0.3,0.52,0.57,0.49,0.46,0.65,0.44,0.77,1.21,1.34
1995,1.16,0.88,0.61,0.52,0.21,0.18,0.02,-0.29,-0.58,-0.71,-0.87,-0.78
1996,-0.65,-0.63,-0.43,-0.13,-0.04,-0.05,-0.08,0.0,-0.19,-0.19,-0.24,-0.45
1997,-0.36,-0.21,-0.16,0.36,0.73,1.23,1.57,1.91,2.16,2.41,2.45,2.36
1998,2.41,2.07,1.49,1.07,0.84,-0.02,-0.63,-0.97,-0.97,-1.12,-1.09,-1.4
1999,-1.39,-1.06,-0.68,-0.68,-0.74,-0.89,-0.82,-0.94,-0.81,-0.97,-1.32,-1.48
2000,-1.52,-1.28,-0.84,-0.64,-0.57,-0.52,-0.43,-0.36,-0.35,-0.59,-0.64,-0.72
2001,-0.54,-0.39,-0.23,-0.19,-0.04,0.07,0.2,0.09,0.02,0.03,-0.16,-0.32
2002,0.03,0.15,0.21,0.32,0.56,0.91,0.91,1.03,1.17,1.34,1.48,1.41
2003,0.92,0.85,0.6,0.18,-0.22,0.06,0.39,0.39,0.41,0.59,0.54,0.5
2004,0.43,0.36,0.26,0.35,0.34,0.34,0.72,0.91,0.96,0.9,0.83,0.86
2005,0.87,0.63,0.7,0.59,0.62,0.37,0.04,0.23,0.21,0.14,-0.32,-0.59
2006,-0.61,-0.38,-0.36,0.02,0.17,0.26,0.24,0.51,0.76,0.86,1.13,1.21
2007,0.92,0.39,0.18,0.05,-0.08,-0.01,-0.18,-0.34,-0.68,-0.93,-1.08,-1.11
2008,-1.31,-1.29,-0.92,-0.66,-0.54,-0.39,-0.13,0.01,-0.06,-0.13,-0.24,-0.62
2009,-0.72,-0.52,-0.23,0.13,0.37,0.56,0.68,0.72,0.81,1.09,1.45,1.55
2010,1.45,1.3,1.05,0.7,0.18,-0.31,-0.66,-0.99,-1.24,-1.21,-1.2,-1.23
2011,-1.28,-0.88,-0.6,-0.36,-0.17,0.01,-0.08,-0.35,-0.61,-0.7,-0.8,-0.73
2012,-0.59,-0.42,-0.27,-0.25,-0.15,0.04,0.28,0.46,0.68,0.61,0.44,-0.15
2013,-0.37,-0.31,-0.23,0.05,0.04,-0.1,-0.08,0.0,0.02,-0.0,-0.03,-0.08
2014,-0.4,-0.54,-0.3,0.06,0.22,0.09,0.1,0.11,0.34,0.58,0.86,0.8
2015,0.69,0.53,0.58,0.93,1.03,1.11,1.32,1.68,1.93,2.2,2.48,2.44
