Year,1,2,3,4,5,6,7,8,9,10,11,12
1983,0.58,0.54,0.4,0.26,0.34,0.19,0.03,-0.08,-0.33,-0.52,-0.6,-0.54
1984,-0.48,-0.4,-0.51,-0.56,-0.5,-0.42,-0.32,-0.3,-0.16,-0.36,-0.58,-0.6
1985,-0.34,-0.46,-0.6,-0.65,-0.66,-0.65,-0.26,-0.18,-0.23,-0.06,-0.03,0.06
1986,0.02,-0.04,0.01,-0.12,-0.02,0.08,0.2,0.47,0.54,0.57,0.65,0.55
1987,0.49,0.65,0.67,0.52,0.55,0.73,0.74,0.8,0.98,1.03,1.05,0.95
1988,0.83,0.61,0.33,-0.02,-0.35,-0.56,-0.58,-0.29,-0.49,-1.26,-1.39,-1.36
1989,-1.36,-1.17,-0.83,-0.63,-0.39,-0.6,-0.47,-0.39,-0.17,-0.15,-0.24,0.13
1990,0.38,0.53,0.5,0.33,0.2,0.22,0.41,0.55,0.51,0.63,0.62,0.7
1991,0.74,0.67,0.54,0.58,0.67,0.64,0.76,0.77,0.68,0.91,0.89,0.91
1992,0.8,0.95,0.77,0.68,0.59,0.49,0.59,0.51,0.36,0.26,0.26,0.39
1993,0.58,0.35,0.31,0.33,0.33,0.36,0.41,0.42,0.52,0.27,0.38,0.4
1994,0.38,0.17,0.34,0.38,0.42,0.51,0.76,0.98,0.81,0.9,1.01,1.09
1995,0.96,0.95,0.89,0.67,0.61,0.4,0.31,0.15,-0.02,-0.09,-0.22,-0.25
1996,-0.2,-0.26,-0.14,-0.2,-0.13,-0.06,-0.06,0.09,-0.0,-0.01,0.05,0.12
1997,0.24,0.38,0.46,0.85,0.76,0.59,0.8,0.81,0.91,0.86,0.9,0.81
1998,0.81,0.79,0.47,0.13,0.15,-0.13,-0.24,-0.44,-0.45,-0.87,-1.03,-1.18
1999,-1.29,-1.21,-0.88,-0.7,-0.55,-0.56,-0.64,-0.58,-0.49,-0.53,-0.82,-0.99
2000,-0.94,-1.09,-1.1,-0.94,-0.76,-0.51,-0.28,-0.24,-0.18,-0.3,-0.45,-0.62
2001,-0.63,-0.55,-0.36,-0.21,-0.05,0.24,0.47,0.51,0.61,0.55,0.38,0.29
2002,0.58,0.63,0.52,0.68,0.86,0.87,0.95,0.94,0.88,0.94,1.12,1.05
2003,0.8,0.82,0.78,0.6,0.29,0.42,0.52,0.54,0.58,0.72,0.7,0.68
2004,0.68,0.59,0.39,0.3,0.39,0.46,0.67,0.83,0.99,1.01,1.02,1.09
2005,1.11,0.88,0.82,0.61,0.5,0.42,0.23,0.39,0.46,0.45,0.15,-0.06
2006,-0.23,-0.42,-0.29,-0.04,0.21,0.45,0.54,0.71,0.89,0.91,1.05,1.04
2007,0.87,0.7,0.63,0.42,0.29,0.24,0.23,0.11,-0.17,-0.34,-0.54,-0.61
2008,-0.89,-1.13,-0.88,-0.7,-0.66,-0.64,-0.5,-0.35,-0.3,-0.26,-0.38,-0.46
2009,-0.53,-0.44,-0.2,0.1,0.26,0.47,0.59,0.79,0.95,1.21,1.33,1.3
2010,1.22,1.0,0.96,0.83,0.48,0.09,-0.32,-0.76,-0.95,-1.03,-1.0,-0.95
2011,-0.85,-0.53,-0.24,-0.2,-0.13,-0.08,-0.07,-0.23,-0.46,-0.46,-0.58,-0.64
2012,-0.57,-0.41,-0.33,-0.22,-0.11,0.06,0.15,0.35,0.57,0.63,0.58,0.31
2013,0.28,0.04,-0.22,-0.05,-0.05,0.07,0.05,0.22,0.26,0.28,0.14,0.11
2014,-0.02,0.16,0.26,0.45,0.41,0.29,0.39,0.57,0.69,0.71,0.83,0.91
2015,0.93,0.92,0.98,1.15,1.08,1.01,0.92,1.03,1.08,1.16,1.45,1.45
