,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
772,"(1, 6)",tanh,0.0001,0.001,0.0462,0.61453,0.0014570736702688258
773,"(6,)",tanh,0.0001,0.003,0.1,0.61537,0.0014590653417625296
774,"(7, 2)",tanh,0.01,0.003,0.1,0.61711,0.0014631909469994878
775,"(7, 4)",logistic,0.0001,0.001,0.0462,0.61798,0.0014652537496179666
776,"(1, 1)",logistic,0.0001,0.003,0.1,0.61845,0.0014663681372394438
777,"(6, 6)",tanh,0.0001,0.003,0.0462,0.61933,0.0014684546502328477
778,"(2, 1)",tanh,0.01,0.001,0.0462,0.62232,0.0014755440523354362
779,"(3, 6)",logistic,0.0001,0.001,0.0462,0.62414,0.0014798593405717948
780,"(4, 6)",tanh,0.01,0.003,0.1,0.62801,0.0014890352556677872
781,"(7, 4)",tanh,0.01,0.003,0.1,0.62858,0.0014903867470385148
782,"(7, 1)",logistic,0.01,0.003,0.1,0.63437,0.0015041150541201163
783,"(1, 4)",logistic,0.01,0.003,0.1,0.63772,0.0015120580297200063
784,"(5, 4)",tanh,0.01,0.003,0.1,0.63783,0.001512318843844182
785,"(3,)",tanh,0.01,0.001,0.1,0.6395,0.0015162784764566645
786,"(3, 7)",tanh,0.0001,0.003,0.0462,0.64357,0.001525928599051158
787,"(7, 4)",tanh,0.0001,0.003,0.0462,0.64399,0.00152692443479801
788,"(2, 4)",tanh,0.01,0.003,0.0462,0.64472,0.0015286552921675383
789,"(4, 1)",tanh,0.0001,0.003,0.0462,0.64555,0.001530623253286317
790,"(1, 2)",tanh,0.0001,0.003,0.0462,0.65156,0.0015448731886162697
791,"(2, 3)",tanh,0.01,0.001,0.1,0.65315,0.001548643138229352
792,"(3, 5)",logistic,0.0001,0.003,0.0462,0.65348,0.0015494255806018783
793,"(3,)",tanh,0.01,0.003,0.1,0.65662,0.0015568706383283426
794,"(3, 2)",tanh,0.01,0.003,0.0462,0.65924,0.0015630827565587047
795,"(3, 1)",logistic,0.01,0.001,0.0462,0.66984,0.001588215753979253
796,"(3, 6)",tanh,0.01,0.001,0.0462,0.67366,0.0015972731172006205
797,"(7, 6)",tanh,0.01,0.001,0.1,0.67997,0.001612234363778324
798,"(5,)",logistic,0.0001,0.003,0.1,0.68389,0.001621528830748942
799,"(2, 2)",logistic,0.01,0.003,0.1,0.68568,0.001625772987860525
800,"(6, 2)",tanh,0.01,0.003,0.1,0.68663,0.0016280254734784044
801,"(3, 3)",tanh,0.01,0.001,0.1,0.69006,0.001636158132077695
802,"(6, 3)",tanh,0.0001,0.003,0.0462,0.69029,0.001636703470700971
803,"(7, 3)",tanh,0.0001,0.003,0.0462,0.6905,0.001637201388574397
804,"(7, 4)",logistic,0.0001,0.001,0.1,0.69409,0.0016457134131724884
805,"(1, 6)",logistic,0.01,0.001,0.0462,0.69537,0.0016487483411628944
806,"(5, 4)",logistic,0.0001,0.001,0.1,0.69926,0.0016579716770087369
807,"(7, 5)",logistic,0.0001,0.003,0.1,0.70609,0.0016741658630825432
808,"(7,)",logistic,0.01,0.001,0.0462,0.70672,0.001675659616702821
809,"(3, 1)",tanh,0.0001,0.003,0.1,0.70721,0.0016768214250741482
810,"(5, 1)",tanh,0.0001,0.003,0.0462,0.72029,0.0017078345954761077
811,"(1, 1)",tanh,0.0001,0.003,0.1,0.72051,0.0017083562237244587
812,"(3, 5)",logistic,0.01,0.003,0.1,0.72196,0.0017117942280885905
